ID	S2P3_D01	S2P3_F01	S2P3_E01	S2P3_H01	S2P3_D02	S2P3_E02	S2P3_G01	S2P3_H02	S2P3_F02	S2P3_G02	S2P3_A03	S2P3_D03	S2P3_B03	S2P3_E03	S2P3_C03	S2P3_H03	S2P3_F03	S2P3_G03	S2P3_A04	S2P3_D04	S2P3_C04	S2P3_B04	S2P3_E04	S2P3_F04	S2P3_G04	S2P3_H04	S2P3_A05	S2P3_B05	S2P3_C05	S2P3_D05	S2P3_E05
PAK1_9416	7.02722169605049	6.76795984222015	7.05955583264039	6.75643290773443	6.72707453161324	7.2417799249452	6.63542008157456	7.25099740797897	7.13992861772561	7.35676665031311	6.84579688349994	6.9186048389809	6.80017934207725	6.7863377861991	6.77091534064337	7.217427869241	7.20723839448287	7.05895270087767	7.3566480365385	7.08476361332102	7.01581581175937	7.17980872303817	7.24799542104696	7.07172380349715	7.44041605493112	6.7886951228994	7.29221350983017	7.21316892991787	7.14622188661953	7.2339580971827	7.05330696959956
CAST_8205	6.34559610231115	6.62759756782583	6.44341637768463	6.30199662558452	6.52937984785563	6.3837347327883	6.36945569387966	6.48698320723448	6.14163023589755	6.33181241976486	6.3602333496033	6.54418431585372	6.56387621083382	6.76364649264978	6.78593705023477	5.80813994964853	6.50536685160463	6.59595774129057	5.8423110702375	6.42030393118523	6.67048028218481	6.26744143488432	6.06298293622909	5.81268288573306	6.07038756736941	6.72021105661089	5.52199935709878	5.63093852805107	6.45073136048398	6.27801785829915	5.90889638938617
BGN_32910	7.35033241123852	7.09558850017256	7.19772373182762	6.77918334627899	7.02543932249293	7.70328741696157	7.41264852243601	7.60417945055035	7.42524386544993	7.6377873143875	7.1188742992245	7.36599976589929	6.9850224689585	7.75411754173004	7.92446016567991	7.09769102974586	7.31265833633133	7.55352442365241	7.06084922518289	7.23742138817516	7.04523451327188	7.55204606727292	7.60268439911352	7.09223078619118	7.77108834017476	7.29571098347455	7.17031134091783	7.4637365981023	6.99934552620847	7.24220639977836	6.70960365853808
SMAD4_9892	6.25185401361064	6.71691083561504	6.1462549304873	6.41283724754687	6.49787956374602	6.54728540624006	6.48178995511682	6.54368959111578	6.24037117315433	6.01860139741607	6.40755449966078	6.9160058209047	6.60901216491039	6.66301676716965	6.71183804900652	5.59220437517576	6.44985381427242	6.40435211480857	5.46581882234912	6.10173242742024	6.59954038840244	5.96653152294222	6.12932177254173	5.83448670923243	5.74398911229654	6.55636709982362	5.45213048921707	5.70410867842705	6.58971909714828	6.26997234480221	5.69983371861205
MAPKAPK3_9194	4.91465765639105	5.88499197117327	5.26408572521825	5.32016628744999	5.48833382122892	5.04432184642148	5.98330810329609	5.44461572096338	4.9738260796049	4.73999656111393	4.98396100519731	5.5794064798554	5.60006426551405	5.44732944306814	5.47979710152766	4.54540261511148	5.44370623593392	5.44267010818763	4.521281775987	4.73640162312623	5.72148949921008	4.63376069252855	4.87351013786152	3.81279224536133	3.86851957920553	5.782221672232	3.48454663142467	4.02270394258265	5.62092069121056	5.27655031306364	4.58713434261817
SQLE_9935	8.06917398092003	7.25318702835038	7.90408439371082	7.54373502391454	7.49626643924878	7.99686711374563	7.62325539332475	7.88402443605053	8.26364792361251	8.71651734074797	7.49526246732484	7.36218609899508	7.33945870349828	7.64815881066381	7.73363198504767	8.56063016509766	7.93086300544455	7.92723157789036	8.69000488165083	8.57668580419707	7.67910560150175	8.6691411450393	8.41795582529192	9.19218223616475	9.12971291793227	7.47092490819784	8.96423304319879	9.59298581651255	8.08817257707207	9.02521984188621	9.30897835849754
HSPD1_8849	12.8681841373405	12.3918507734924	12.8603735639293	12.8517464673224	12.4562939147856	12.8306482795487	12.5314002634106	12.7344482711074	12.9566955623241	13.0491156749341	12.5556262112204	12.3833688243158	12.4430253748875	12.3596278516191	12.387526215845	13.2560933958489	12.7144615546761	12.7836220116407	13.3211684133721	12.9456603755997	12.6561230742255	13.089075754598	12.9796691959589	13.2376015458408	13.3384965743578	12.7306303366922	13.3869648118188	13.3095782666072	12.8279759469463	13.0454839513047	13.1210057845805
HNF1A_32881	3.61535606555859	4.31791132226494	3.60555777062275	3.49960445531612	3.94149308472463	3.51211318508085	4.09322845659812	3.69888990359287	3.4597770407033	2.40248342324749	4.23309208180906	4.34904249307171	4.00299558092166	3.68283687706957	3.65772824700361	2.38766964745542	3.5817945322687	3.45720070744145	2.525767399002	3.27601418035502	3.84095217901077	2.67506458545319	2.90721698150063	2.34074627884465	2.13802044516809	3.95630470688886	1.587467514778	1.9233191444736	3.71846321892464	2.67682966533952	2.07020597158536
SLCO1A1_9885	11.5927303637985	10.9782205969868	11.0667683286987	11.445170475187	11.7532081620777	11.6819629088205	11.6058811383131	11.2085059440722	11.5825218174726	11.8958876592221	11.5631491486598	11.0072158813084	11.0230622057896	11.9739343504108	11.4395254690802	11.3710840138405	10.976655221071	11.5681199855136	10.9822374707961	11.6462906249815	11.4893045367864	11.9386233909983	11.6634108551905	10.3109961201802	10.9416710290367	9.89872842938717	10.437860109247	9.19796362981524	7.56882900920476	8.35903682686761	6.64342556479883
HMG20B_8806	6.87833038696221	7.08220431409664	6.60943629017153	6.7098266092006	7.33449071238741	6.63384056714294	7.30682030777879	6.77838382182913	6.61017042355983	6.41470142650695	7.22008644800417	7.39987657017728	7.23199247880819	7.35180320480836	7.2119850789519	5.74577343831529	6.87206655603385	6.94068164798573	5.74227021292993	6.83197701164207	6.87818873725208	6.52280750806035	6.51072190197569	6.1491761976673	5.8327682038947	7.07354155812357	5.50085938199883	5.66187830890751	6.73457529262117	6.59058123929439	6.52478677131809
ACVRL1_32420	6.20259522711837	6.725545432325	6.0153247420118	5.74681413378371	5.97373776788649	6.08098482304908	6.41544422829034	6.49179480601541	6.15856353348354	5.81394217891022	6.14326309803223	6.57416572347256	6.32508326554682	6.36060832473398	6.57728094079576	5.60229651624612	6.1016294319361	6.33742613484995	5.86060433166089	6.12697339398539	5.97181171731321	5.95212014785289	6.03556904031458	5.94885099756075	6.12007933114779	6.76622638526272	5.5986248720471	6.25973208415413	6.30903497340803	6.16108048206619	6.14896789162751
ITPKC_32806	3.61535606555859	4.06927203430006	3.31295963299298	3.17302523023471	3.22944473590804	2.7618881372243	3.27851125978431	2.60740558829571	3.22273167587646	2.26627014688841	3.53790355430126	3.8580092459496	3.89050467604233	3.32815373547574	3.44708081879968	2.18770936613675	2.74748569859653	3.42317863212061	2.22051968067964	2.77789570882753	3.16959048716365	2.85107776019474	2.59301231906936	2.51288174822712	2.13802044516809	3.18833904148474	1.81003869936254	2.07814216289829	3.92160826615209	3.95021060421284	2.45397915229518
