ID	S3P3_D01	S3P3_E01	S3P3_G01	S3P3_F01	S3P3_D02	S3P3_F02	S3P3_H01	S3P3_E02	S3P3_B03	S3P3_H02	S3P3_A03	S3P3_G02	S3P3_F03	S3P3_C03	S3P3_E03	S3P3_D03	S3P3_B04	S3P3_G03	S3P3_A04	S3P3_H03	S3P3_D04	S3P3_F04	S3P3_E04	S3P3_C04	S3P3_B05	S3P3_H04	S3P3_A05	S3P3_G04	S3P3_D05	S3P3_E05	S3P3_C05
URAD_32538	4.7175290389314	4.42606232886118	4.46076120828248	4.8574939497802	5.01228098902108	5.13906938363026	4.97136323680904	4.48539220385597	4.59280519750402	4.59119017937222	4.54367330433806	4.76609868700856	4.85018744096228	4.48377555815138	3.98541596555214	4.51056970162517	3.8016428348306	4.40426802271848	4.34796299260669	4.85663018812117	4.61908451829926	4.25556465439295	4.78512870463187	4.752338780404	4.06830490048936	4.69784480568128	4.70515440287013	4.09434349290002	4.48430065266651	4.55031353415383	4.27854756419615
PTTG1_9623	2.03851433241605	1.3655195604896	2.58612332149116	1.44025401641332	2.59796334240185	1.86144315733241	2.57495971748596	1.47679047653097	1.95242604208306	0.774744403198595	1.94931310855544	1.95113572054037	1.43316372972326	1.88591294760703	1.82902093315735	2.08841515300343	1.5662379715079	1.84257541819319	1.65607409369367	1.46678591605734	1.21422841456929	0.896810504950847	1.24962987691629	1.52637162270743	2.61520840196687	1.83775939217387	1.58396612671397	0.791578138284505	3.57072715895792	1.56928908100402	3.93930003201228
IGF2BP2_8878	5.70220471744017	5.09214449863384	5.1306361121171	4.99305637220837	5.54858195349722	5.75623439843754	5.41033437499157	5.37746439411656	5.28497961104053	5.21937116409956	5.40606865843145	5.36229572776558	4.98216688407069	5.10876609743675	5.22418161797608	5.33481696637799	5.55135517512474	4.96633885303791	5.64014495680795	5.28736773887139	5.51402975590723	5.21729635573917	5.32801074986684	5.22093615785419	5.17396816661521	5.17206392910633	5.37164808589846	5.24000899100239	5.9474578064907	4.79489140330872	5.88277138790377
RGD1566401_32721	0	0	0	0	0	0	0	0	0.225075137812269	0	0	0	0	0	0	0	0	0	0.386665510789601	0	0	0	0	0	0	0	0	0	0	0	0
SLC1A4_9843	0.530102504045759	0.609342402251021	1.00069660453829	0.651893283217405	0.396043919145353	0.809404960204442	0.695831665273172	0.531890081812149	1.00936776355746	1.27606413553753	1.10081787549966	0.863210835348149	0.887674373759233	0.470015027941434	0.564309642381259	1.20233780436696	1.24666377627667	1.35157077354699	1.15670259794674	0.588819426909113	0.958268197338993	0.719366407467284	0.988518045912253	1.08974404736099	0.67046912384333	1.12977841716542	0.916834588418333	0.791578138284505	0.818573669545408	0.988260927455016	0.514079847648819
NPM1_32887	11.2178961989859	11.2965128415478	11.2053519859575	11.2085138943743	11.2995372803052	11.311835484148	11.250822148636	11.3495606198337	11.3690547281174	11.1399632389917	11.3677092586701	11.3213611058596	11.1983626273908	11.1683822931066	11.4921425549713	11.3380511158822	11.1473831300322	11.2545388049327	11.3218380717957	11.1973396632089	11.2726585160952	11.1973960278424	11.3867677148323	11.3331895080091	11.7708862875678	11.3243246187522	11.3935042506868	11.5480076153671	11.8400671171747	11.3047731282811	11.6876982708335
GALNT11_32432	10.7801114296429	10.7857117820655	10.6280136446595	10.6933561392	10.1049404970504	10.0869235388344	10.6066109026431	10.1148719251041	10.5323899967507	10.525131444855	10.4002797392036	10.5107310795203	10.4051332045925	10.5051190259618	10.4679076072191	10.5520512710129	10.339257569062	10.6036281879657	10.4873249401602	10.4593898580562	10.3937195150004	10.3656061217325	10.3964998377533	10.4947151190372	10.7021143610333	11.1559871927545	10.4659985769303	10.5448466828773	10.0910980441296	10.9982498059536	10.211807751317
GBP2_8691	5.4617604681164	6.03659855776366	0	6.07173138300882	4.69797794004629	5.25731918500745	6.25960747039005	6.26284208561138	5.30975572216415	5.51683070531763	0.251923547248876	5.24255314300741	5.30272672697164	6.17872425566837	5.10884153902836	5.7855302867676	4.80064191564283	5.6254894967173	5.35606864326303	0	6.2310853249241	6.04136052575877	6.31708088022084	5.4860091369764	6.13372954253747	6.46493726718303	6.21876919556644	6.20658529458033	7.07909543396351	6.72618069503731	7.54360404763652
FERMT3_32542	2.7596700153582	3.52497555651771	3.70172549468724	3.98658831835064	2.80776646127314	3.5279259262534	2.41649538375086	2.76461956277678	3.45436664166784	2.95483387330604	3.17206137203699	3.43682650639714	3.11298712079659	3.38343272357203	2.8840892913851	3.24142781684783	3.01091122917187	3.87857174890458	2.5650831719473	3.18018731233132	3.27431842053072	3.13051999703306	3.58765698268201	2.46295560032861	3.18349749150372	3.33770060545234	3.67418727205198	2.77562691603837	3.68220840332889	3.41158403259491	3.85644943501559
EXOSC5_32543	7.99929114689858	8.00238719771558	8.29140727188392	8.04934601047469	8.05204503393023	8.20197933627922	8.14790182111197	8.16823902955308	8.05935097177503	8.0847683768447	8.09917231612111	8.22272934648214	7.92156904865082	8.01591927224943	8.19158444106322	8.11966274980767	7.94002566554558	8.28612147901872	8.1780111437146	8.12263408238544	8.04282574295054	8.1646569415569	8.25034847871214	8.16416222462228	8.13452626456065	8.06267398263598	8.14994987141115	8.02104815904923	7.62396193400422	8.00221002718083	7.63031976424676
