ID	S2P4_F03	S2P4_D03	S2P4_E03	S2P4_G03	S2P4_A04	S2P4_C04	S2P4_H03	S2P4_B04	S2P4_G04	S2P4_F04	S2P4_D04	S2P4_A05	S2P4_C05	S2P4_B05	S2P4_H04	S2P4_F05	S2P4_D05	S2P4_G05	S2P4_H05	S2P4_C06	S2P4_B06	S2P4_D06	S2P4_G06	S2P4_E06	S2P4_F06	S2P4_A07	S2P4_H06	S2P4_B07	S2P4_D07	S2P4_F07	S2P4_C07	S2P4_E07
XPNPEP1_10181	7.01123880066747	7.44388663323125	6.86143243970935	7.15197953226288	6.94276395272123	7.0434848130915	6.72006791125796	6.41235956296674	7.06323790615593	6.69286726684158	6.62158322479837	6.99651072006741	7.12808175200097	6.88015838598262	6.99703297959206	6.20321448335478	7.04580530564734	6.26272306765609	6.8339514197944	6.83387151268242	6.50976671442591	6.51095785268659	6.6432774913717	6.94141839220557	6.77882777485682	5.85663317037948	6.5540662791283	6.84807606011104	6.7239227433566	5.27945096005357	6.78566548233397	5.6384610322347
TCFL5_9994	0.604383936742	0	0.369430354019711	0	0	0.307543470414345	0	0.274280457659434	0	0	0	0.312942318901804	0	0	0.532324082713331	0	0	0.537138824845726	0	0	0	0	0	0	0	1.19800601967885	0	0	0	0	0	0
CD80_32896	0	0.424515935947464	0.369430354019711	0.717087194696959	0	1.1296081240349	1.01823982050723	1.0334785291338	0.761242623258051	0.600411426642693	0	0	0	0	0.532324082713331	0.296963149727234	0.353016888828664	0.745571018423711	0	0.663918645350334	0.619605716977626	1.07038717415833	0	0	0.703936017640507	0.51743482058755	0.297461662100743	0.788626242637406	0	0	0	0.814556169027434
LSM6_32830	7.48553002936931	7.47473722164846	7.6013981486586	7.39393875706999	7.4221494765361	7.1511035158527	6.88143062423244	7.13610559130125	7.45667534818774	7.14881865961295	7.25834364161348	7.23556876438575	7.21443092466293	7.35998994655181	7.80242625408602	7.0906937735519	7.24086726900905	6.93213391644469	7.18598016419886	7.05604092160871	7.05784242059925	7.10511871645363	7.12703799981536	7.37979906372377	7.3704133446044	6.76049456082763	7.04913660350293	7.10089000625541	7.07732379888663	6.29053047822907	6.86801527306646	6.71007340779286
BHMT_8143	5.94528873261197	6.17315539341102	6.03977596563089	6.59894723625258	5.81119743806853	6.02045827539934	5.83002258607518	5.64378223698021	5.91414329566562	6.17964280848243	5.9190250535215	6.37289381124816	6.18601495159039	6.44374530954749	6.26003667550405	5.71845932270793	6.11843223259431	5.38625262072873	6.05548574750526	6.37687081498123	5.89417795248414	6.01178228325389	6.20882974291	5.76137064479042	6.24496700980199	5.77941691129421	5.78838046921842	6.04403643778694	6.68007770856617	5.6293115386748	6.79667710411017	5.90520953405772
LOC686151_32901	2.57122276825064	2.7689413877622	2.83363811894214	2.21677718523475	2.77847851256104	2.39965641631664	1.83334176361812	2.12109901066627	2.303941265359	2.6824751434779	2.61586244738619	2.81884347744216	2.94106243409722	2.64245776778845	2.85750332894336	1.81316000628601	2.28723644242497	2.62936969822872	2.77661406407252	2.50463112031024	2.89481050840316	3.55151225662937	2.46746052895709	2.94331553572123	2.86580577375549	1.65857225129636	2.64767010587775	2.91587634778955	2.15441100557341	2.24203850227563	2.22128255504672	2.47314840717299
BEX1_32763	6.83176933569153	6.94412745852032	7.16702723307792	6.70958586762532	7.16258609040095	6.70864234990952	6.69886359093388	6.21096105309845	6.63927391273264	6.43763913063931	6.64765233571627	6.27249287496662	6.72314450650831	6.46336368940649	7.25692154576794	6.53016814747563	6.90606221459514	6.24567143371868	6.34737527501684	6.54430119595509	6.5474887719575	6.79083311245711	6.33776976413695	7.02113878038989	6.82757486237208	6.26138190902631	6.82564920778332	6.67743887685616	6.66379780457895	5.42077132314769	6.44664034729858	6.03329844782292
UNC93B1_10134	6.56467222568878	6.13854393736992	6.28085642687751	5.40672856797508	6.75979579240949	6.10754559550683	6.03944601446872	6.38731685060757	6.19524499847961	5.62234238523711	6.21640643219626	6.14495839211704	5.94660326393498	6.41179021017208	6.20437382827193	6.39172790312122	5.83289506623783	6.88610962434704	5.80086021983589	6.63616167066573	6.29986750270007	6.79083311245711	6.20417127980146	6.45931691818968	6.25688131819792	6.62833015393177	6.17875087873804	6.2091678328224	5.87113254800799	6.46603657493404	5.75418583597973	6.48416473022436
SATB1_9780	2.36810765797459	3.09198519379513	3.15051930169395	3.44261389684802	3.08062621225824	3.39285922723471	3.37850111089594	3.22891567730392	2.43331985291933	2.79404401562851	2.98647624007201	3.45045684636906	2.88780653562446	3.14826987283217	2.81238966544796	3.16983618980471	3.1762641406597	4.04986320683984	3.24723663485385	2.57706195000493	3.08922237044046	3.29277805711205	4.00205685711289	2.76954538057586	3.24651889385964	3.29922434664713	3.09699487379293	3.28231310409476	3.17861267327835	3.08087942218263	2.79020481578434	3.47466447550557
PIEZO1_33107	4.69909689800076	4.2319200055697	5.87019211886968	4.53018629174407	5.05472087489925	4.32249698422563	4.52651300991924	4.56158286069688	4.73947798648091	4.7165133036957	4.52722989296084	4.55631850358069	4.6075778446541	4.92212258472775	5.02064124764543	4.81752688718413	4.44573685345815	4.66442362001183	4.46885927946284	4.67491094595433	5.17543744140454	4.7905074487894	4.70254927663943	4.85453751028685	4.80964821681584	4.27313052025688	4.7604201292563	4.89988498199122	3.85995152592745	3.47586967689116	4.43092696352294	4.12430622081412
