ID	S4P1_C06	S4P1_A06	S4P1_B06	S4P1_D06	S4P1_F06	S4P1_G06	S4P1_E06	S4P1_H06	S4P1_A07	S4P1_D07	S4P1_C07	S4P1_B07	S4P1_E07	S4P1_G07	S4P1_H07	S4P1_F07	S4P1_C08	S4P1_B08	S4P1_A08	S4P1_D08	S4P1_F08	S4P1_E08	S4P1_H08	S4P1_G08	S4P1_A09	S4P1_D09	S4P1_C09	S4P1_B09	S4P1_F09	S4P1_G09	S4P1_E09
FKBP10_33287	1.33775968477188	0.766823111439503	1.10422487153671	0.612344659782858	1.3482704804724	0.664057052441047	1.17144106476749	1.42497489018434	1.13729046653725	0.967606396209027	0.969961048433836	1.64241249711965	1.19972003048706	1.20820565944155	1.57796585011912	1.20122298905782	0.849725345109922	2.08040478867471	0.971603391314726	0.837099357792728	0.510147582639461	0.987006478481716	1.22472412139563	0.93674086956278	1.17830667986542	0.486902893001761	1.73167888847838	1.1255987170891	1.33584047964493	1.41343071476654	1.32675038774464
LOC100362572_32922	0.726551666628778	1.15552772237204	0.756937917775939	0.769762367729251	0.287905734160693	0.664057052441047	0.701489470106246	0.419020673337272	0.485315229697247	0.309057803221431	1.42109049941446	0.683696301160543	0.830393706031064	0.905864782734539	0	0.722179671417154	1.13962450062049	0.718834370474749	0.714293197798295	0.668882533831715	0	0.836452902179397	0.738598179816943	1.6476051623076	0.444548930779834	0.486902893001761	0	0.306127069856445	0.284213742291683	0	0.516986334107077
BEX4_32358	0.522510683898222	1.15552772237204	0.941006167684861	1.26901988631958	1.21735508112795	1.73903976337623	1.41674295854944	0.881703092591257	1.37827124873811	1.65539076343669	0.969961048433836	1.14567723283114	1.35408035454526	0.522893030395821	0.527289709182807	1.20122298905782	1.13962450062049	2.34777740239346	0.566093666887568	0.837099357792728	1.82585695478818	1.12332294945144	1.11767449870878	0.93674086956278	2.08678275523333	1.26604643601909	2.05838300133361	0.960168134336696	0.903798517740807	1.55629766500562	1.84228608790301
GMNN_8719	1.85547843424577	1.55049525674493	1.38392088544848	1.37084783905066	1.68197424559445	1.73903976337623	1.72071787169355	1.59555995691342	1.13729046653725	1.13388679610978	0.969961048433836	1.33091663365178	1.84555100536539	1.45803260198468	1.95155958284033	1.20122298905782	1.13962450062049	1.65665154120583	0.566093666887568	0.837099357792728	1.54046450268227	0.668337751540652	1.11767449870878	0.686582139395432	2.36463361773378	1.68162113672369	2.19761934628279	2.10747970557584	2.09295035158141	2.11349938220829	1.92647743094731
CIRBP_8321	4.9595499211775	4.06902959344213	4.77853285606661	4.37432241728026	4.76993788723702	4.94538045649171	4.29106991761173	3.78730152771707	4.71111918916446	4.42929838779228	4.43388989522348	3.71424514282309	4.51025149932343	4.13747714746482	4.88061863142352	4.14363246042096	5.0305670887463	4.72265734639034	4.54000264830908	4.99405234108708	4.91979368334469	4.31148176258651	5.0039507420004	4.98995802255705	4.87429295812031	4.50318259151594	4.76370832855749	4.95516341197438	4.61568780105991	4.60239612054851	4.42430006706624
SPINK1_32461	8.73358708788619	8.14739170545044	8.22084707483558	8.02771067204025	8.0662393029009	8.19462821205989	7.7742047651293	8.14852483204871	7.75850060749337	7.6946661596221	8.24895512888291	8.35519925604375	7.89217149524477	8.35067872176904	8.16667134935397	8.34608441215171	7.95340531248403	8.38482471450871	7.82654591796577	8.21957162155453	7.65567132210633	8.54533755187699	7.71944868853998	8.22267012486394	8.29328741188872	7.26628073385592	7.63151881010006	8.15788511448458	7.24902824681696	7.99587207648899	6.94963955494681
GUSB_32941	0	0	0	0	0	0	0	0	0	0	0.309987463305198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLCO1B2_32950	9.39522496645936	9.76720699816113	9.32676003452112	9.00231422993294	9.24778940062149	9.39429088638148	8.9380100489569	9.74405250485197	8.99113198469496	9.29322202028104	9.18671953011499	8.97608035255858	9.08031057270876	9.21166829459084	8.90870843919745	8.98980389727972	9.13933196243608	8.77203474940184	8.74743630881661	9.26680434261043	8.86524727629077	8.6307424996275	9.0674654749298	8.94675589701897	8.73758029458501	8.8804372672409	8.76224674597103	9.13911815113736	8.86451536936386	9.10987244229603	8.85417278426546
IL1B_8892	3.60045398289355	3.61168008786067	4.01594361835269	3.41867540447734	2.79979230067914	3.79282518727472	3.37750450638929	3.57931759897795	3.60845063649158	4.22330490255642	4.0721055599351	4.3069726718822	4.00401867606956	4.33775961309011	4.51351266775191	3.80667985606978	3.32542603649702	3.75344052471374	4.06148598375682	3.11568810935593	3.84420185628433	4.22320817541343	4.04822530072333	3.7542519241498	4.04598527747944	4.26792576651984	5.01032755799767	4.79240818601777	4.25345631502041	4.3511911368065	4.39504756897199
RPA2_9722	4.13629065906571	3.2620731283923	4.17132970267852	3.77502953249012	3.5085220456103	3.93744241219871	3.40619243267519	3.65846035603525	3.40563858705194	3.72069600567524	3.55904654327702	3.45984104809446	3.57220910508614	3.3467450974523	3.64058592990429	3.97507166551727	3.35400280023036	3.47486998290876	3.0085355529867	3.29977446873681	3.68677890906823	3.35493722605766	3.44110736892438	3.4667823722838	3.89667964938218	3.98668627716304	4.35142887224962	4.07362646325588	4.11528145762491	4.3511911368065	4.04567595236196
