ID	S4P3_G01	S4P3_F01	S4P3_E01	S4P3_D01	S4P3_E02	S4P3_F02	S4P3_H01	S4P3_D02	S4P3_H02	S4P3_A03	S4P3_G02	S4P3_B03	S4P3_C03	S4P3_D03	S4P3_E03	S4P3_F03	S4P3_G03	S4P3_B04	S4P3_A04	S4P3_F04	S4P3_E04	S4P3_C04	S4P3_D04	S4P3_A05	S4P3_G04	S4P3_B05	S4P3_H04	S4P3_D05	S4P3_E05	S4P3_C05	S4P3_F05	S4P3_G05	S4P3_H05
FAM55B_32626	1.91963776577173	1.87764193736403	1.69036227582822	1.96885473558582	2.00930164126447	1.09680535783124	2.17890397605525	1.46252533794083	1.75921356355878	2.00926784166547	1.41431354596191	1.88009362459114	2.42781994799928	2.3136519316421	1.42821538388413	1.15160786163717	1.95840061760291	1.92214547364544	1.71962219310155	1.99794178161126	2.46616135347561	2.06378665681936	1.45165402004432	2.10990026550465	1.86338398840368	2.39748795504238	0.913848467794998	1.84650909777003	2.3477153631452	1.93240092211308	1.98394521882535	1.48191242224223	1.77391144562968
FBXL12_8618	2.37153679215399	2.99173903882512	1.41712772402037	2.42542134017238	2.52480168827789	2.47384466803382	3.01009742733918	2.64793849975711	2.74938947392037	2.06828470062241	3.13282927493481	2.29818004519377	3.12408781106177	2.46955829870137	2.77083423145375	2.6064555725573	2.90577356960417	2.8949426839439	2.58592474649877	3.21597373680985	2.76951309081281	3.45504124028186	2.4624601739458	2.62273785780303	2.89722384179254	2.7743302675285	2.25013534769442	2.52603469503477	2.90615191772227	2.46127656914386	2.56711277620113	2.97707571904147	2.54586895496523
VLDLR_32971	6.15538159208095	6.67391180809167	6.20841207865923	6.29869371048943	6.20204447343153	6.51625229311547	6.49522157707442	6.2837101379244	6.28172349937997	6.41022925915506	6.27808006640457	6.44632444383429	6.37475245401436	6.42161348433816	6.665743071585	6.63134130698487	6.62077595811251	6.4005595762703	6.39560359294978	6.19620966137404	6.22312351234077	6.22895578975764	6.20709267782718	6.40661566223249	6.38168132366195	6.41368897619745	6.52448151546702	6.24937012129699	6.14022611739291	6.19574919745898	6.22201286517262	6.34686070020164	6.35866455475859
TTN_32883	0.761983163675839	0	0	0	0.518301028993236	0	0.588817477520033	0.434220612376519	0	0.224162320705574	1.07739289125743	0.694826609384863	0.701174798628562	0.462815082807644	0	0.687783431612184	0	0	0	0	0	0	0	0	0.910374842005633	0	0.733830229779362	0.282567248807105	0	0.248283740295814	0	0.377251026775518	0
ACAT2_7961	6.48170512085022	6.5142199824463	6.18651878076957	6.41823381389982	6.4786900784209	6.56044074038529	6.50325960931178	6.50065986654831	6.7206742886256	6.27897084379682	6.33870581127602	6.04357280142231	6.44206550561295	6.51406872636481	6.5461038690071	6.41087920911914	6.37954830525635	6.62417671953944	6.48898179202998	6.25830085730766	6.77916368546827	6.55274601965076	6.34897519111686	6.43454403524866	6.77059986838632	6.40606474490734	6.79240030481529	6.40111799512384	6.47278783512302	6.23224504158914	6.26423287424322	6.79418406447756	6.8074614413475
PRC1_9556	4.62397713818627	3.48078337399623	4.27618868273373	3.13293757548616	3.66348400950201	4.30672102062446	2.59458069734718	4.31931135057368	4.42708081455775	3.95014156623992	3.99891393374742	4.28988582629631	4.1447603145545	4.4211787431553	3.7842394120053	4.04209895558863	4.33928421761234	3.88114649325055	4.19420614800732	4.55902652438345	4.15459952427879	3.84392887096917	4.25143368106014	4.32036952776991	3.70269022512949	3.81056902429794	3.78857477666842	3.84941501877546	3.73015366390298	3.84130099384834	3.56531559687699	2.67345749063271	3.49622518832045
B4GALNT1_8123	2.71513803305306	2.66663816642041	2.58774879460947	2.87083950675642	2.98482282604877	1.437338758692	2.81724698429773	2.38243713472761	2.64323234883401	2.33181168094047	2.71173632861413	2.71550001438991	3.01662456737688	3.19091703291015	2.81001702902627	2.09005263156962	2.59718330440076	2.93597804990374	3.15752965975483	3.10448913733894	2.4087676900864	3.27712885339503	2.26827630646242	2.86090646420411	2.50864334438	2.82094677903195	2.60487116089713	2.47079878970443	3.12087504585464	2.35936697479156	2.56711277620113	2.60423692049487	2.38809249688144
RT1-DMB_32359	6.49289431061463	7.13567231149093	6.90886920417935	6.7466069396609	6.44329575376573	7.06254109998349	6.91832902267416	6.77960134776232	6.70756452842698	6.70105789249047	7.07447779703771	6.66146117399968	6.8044096924099	6.72735422540363	7.0399421379152	6.89343143877483	6.94188750825517	6.83411363589468	6.99502745358674	6.69344661578534	6.98461771646776	6.92418459020819	6.50595625955986	6.81346183063395	6.8787843620482	6.89699503338298	6.90310672383303	6.77909940255408	7.04050906456845	6.45240910087463	6.42588451945744	6.84382568064565	6.93419110998447
GBE1_32816	8.29196835863015	8.21087210572425	8.26855639161068	8.20875903313173	8.09677224144216	7.66226668491151	8.15615181306358	8.17301238254381	7.52496008791447	8.23791201020772	8.34511253786115	8.16096068544025	8.32646008905884	8.18350150798618	8.32474190967362	8.19157658827779	8.38113879987675	8.21402773757573	7.99172682608168	8.14309894972294	8.0285741316959	8.32065785004119	8.00433638084053	8.22993554227789	8.1403575559189	8.30581326975434	7.9560397156037	8.22988755478039	8.39710204587691	8.4555188257378	8.42776414056298	8.16046046517262	8.00502782614155
EPB41L2_8564	4.98258687623215	5.32377338527129	5.36081346988301	4.95964258746983	5.36460336523655	4.85303438579487	4.71153196244447	4.69676331121235	4.76746888814492	4.56640966257465	5.19089197640702	5.13890345914068	4.98484363531681	5.29976452481746	5.22702399011212	4.96978300058917	4.85304686272625	5.28484907126906	4.94558518813966	4.98340255697833	4.78176695548292	5.05451557009536	4.69972318685178	5.12528619573903	5.05526385666461	5.18977923194017	4.98737755656432	4.70583769476271	5.06526228694561	4.78024963775938	4.60878302213229	5.1321886662488	4.99333174303773
