ID	S3P2_G03	S3P2_D03	S3P2_F03	S3P2_E03	S3P2_B04	S3P2_H03	S3P2_C04	S3P2_A04	S3P2_D04	S3P2_G04	S3P2_E04	S3P2_F04	S3P2_B05	S3P2_C05	S3P2_H04	S3P2_A05	S3P2_D05	S3P2_E05	S3P2_F05	S3P2_G05	S3P2_H05	S3P2_A06	S3P2_C06	S3P2_B06	S3P2_G06	S3P2_E06	S3P2_D06	S3P2_F06	S3P2_A07	S3P2_B07	S3P2_C07	S3P2_H06	S3P2_D07	S3P2_F07	S3P2_G07	S3P2_E07
GPLD1_8743	8.70376643685757	8.81870057169307	9.03935941426575	8.80934458096949	8.77385607832795	8.43576160418248	9.17774253921928	8.76724721603884	8.89695425176636	8.56034610778784	8.57861812115792	8.53589724245726	8.72429112367817	8.98827126046907	8.27993702591304	8.92541802396546	8.55120531358773	8.78259775589177	8.59152296759358	8.45048610586938	8.2132438551747	8.41705323179314	8.97293487422516	8.37483315066241	8.42159309452878	8.64355332423061	8.80177672053877	8.53690878745773	8.43034096927873	8.78431691761111	8.77046931474154	8.02342705831561	8.6136336681452	8.37272108524357	8.23101238474347	8.46613342868115
CRP_8385	13.8619768093909	13.7393458818865	13.2882643133914	13.1884550934396	13.3808693557922	13.8265865518022	13.2580465382675	13.5540150172516	13.7660118147175	13.9305932962816	13.461377142323	13.9750821733391	13.6995881267073	13.5631308414161	14.369844632996	13.1823619228798	13.797731757258	13.2340955828737	13.7577628930321	14.1195088827739	14.02262115239	14.0279745904847	13.2986869040084	14.4213274487344	14.1272153844166	13.8134232335108	13.6587544484576	14.0146548965316	14.1250559408121	13.8312612077041	13.5244335355966	14.4775820292757	13.8779668248597	14.2719142421899	13.827969031339	13.9437894053947
LYN_9167	6.85147397143495	6.80038844176667	7.18104130514912	7.16270818999296	6.68687440911956	6.51915934728636	6.89485002483255	6.69786161640793	6.84951155535905	6.52325258609061	6.9818266102563	6.57977554815191	6.62080574744882	7.06089926031581	6.19220814880016	7.18574073143902	6.71347077580763	7.13415840513006	6.72037989771944	6.39147169160908	6.35960151374731	6.48751678127193	7.09141817349321	6.38471741569839	6.62193768458209	6.94135080263207	7.03592997969888	6.6479697299439	6.23247510190847	6.44732379619363	7.13774782191203	5.91580222571009	6.59026265651891	6.53388625526254	6.88561151255675	6.46733367004631
SDHA_9796	8.15872512096085	7.72968661086723	8.48228638511859	8.36053339603503	8.00896773549011	7.40859054302252	8.87231305720696	8.07610796997475	7.99903766681276	7.62555306929205	7.4783487453147	7.72763269343217	7.76993622174694	8.50511627518004	7.12170881487624	8.41517979791451	7.55205654365185	8.60073270465735	7.83701433300601	7.58740563069984	7.37248387797569	7.47945520033528	8.57570375038321	7.30579182093082	7.34293472178144	7.84080863452053	7.89808767812433	7.66716013123469	7.4191679610443	7.64527585940132	8.12396515374058	6.64920564572878	7.16157945263793	7.19347543131708	7.22053341072726	7.58816097107849
VLDLR_32971	1.64760466344419	0.975356245625152	2.27452501546045	1.74491874775559	2.25663828694297	1.48053394155735	0.27319988485648	0.688842781046661	1.6632184130097	0.976638768282895	1.16112375928363	1.74909098580985	1.56948089072314	1.13820954070587	1.71193478340613	1.1690238489872	1.35456947066366	2.00969820073012	1.31736537993065	1.05469760714671	1.79620992994823	2.43014197539721	1.67458780504893	1.5432007129975	1.43850024918345	2.1805798657198	2.05907855664942	1.25227348440021	1.64141818140059	1.9194268228437	1.42109461623186	1.05396311774849	1.02340268061617	1.07703386476963	2.20091570817101	0.927433756265903
STAC3_9953	8.07560958133874	8.48310138653219	8.32005949724289	8.32394360923541	6.89532042347577	7.89267667394079	9.27998342781101	9.39438767244187	7.20072155063051	7.31366571110629	7.62753961996185	8.01016181807925	7.12459409237456	7.1970265703574	8.11281787938191	8.40777323089581	7.37051381272287	8.49855514927258	8.45359617399177	7.4590276050042	5.88348937644897	5.55732978897254	7.24526121263022	8.56550358802917	7.68022935625778	8.09684785967417	7.54061692783267	9.080621972025	6.5762809832265	8.17498702580925	7.53580005287469	7.04961854137244	6.50534407806411	7.74337504727308	6.24232441332754	6.6468523329797
INS1_32525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70227311006429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPARA_32870	3.35664579703373	3.01523504187024	4.03153040146708	3.95443070962345	3.32150433889793	1.99429001769419	3.64000652787438	2.91224615605481	3.24614807043028	2.95886619746789	2.18025293745597	2.86735195712835	2.74569753095704	3.32309283765649	2.04596648499567	4.06456362624524	2.1711164427932	4.20659200052576	2.88649934521428	2.2863542090187	2.61140932584928	2.92299643627561	4.36091497841676	2.40800752343467	2.42518955817833	2.57208934206226	3.1415715258044	2.15555919538952	2.76151169549001	2.23581993878254	3.85030828080821	2.19768243509974	3.0998319227401	2.71115804205645	2.79194765631396	2.99813175953967
PPARG_9537	0	0.402768241254604	0	0.477117712903554	0.443482030281092	0	0	0.267831392086615	0	0	0	0	0	0	0	0	0	0	0	0	0.220170299986281	0	0	0	0	0	0.246476093029005	0	0	0	0	0	0.426786292395715	0	0	0
SLC26A3_33280	0.774876317121331	0	0	0.835050855083598	1.88718169435126	0.922395744134934	0.27319988485648	0	0.444883105210354	0.403404168290755	0.234644178478537	0.478793581016218	0.837694314472078	0.848572205694468	0.649845052907621	0.32160374484444	0.474360220577923	0.301990950826136	0.512293619124768	0.516936061934729	0.992207554945162	2.34367259093511	1.29954998627067	0.780647212044736	0.464758777515048	1.72101483133585	1.42048416406787	0.757947142313979	0.254233794429203	0.549706529244527	0	0.44227135058612	0.426786292395715	0.529948509595203	1.31116031032854	0.745381443540336
