ID	S3P1_G05	S3P1_H05	S3P1_F05	S3P1_A06	S3P1_E06	S3P1_C06	S3P1_B06	S3P1_G06	S3P1_H06	S3P1_F06	S3P1_B07	S3P1_E07	S3P1_C07	S3P1_H07	S3P1_G07	S3P1_F07	S3P1_E08	S3P1_C08	S3P1_D08	S3P1_F08	S3P1_G08	S3P1_A09	S3P1_H08	S3P1_E09	S3P1_D09	S3P1_B09	S3P1_C09	S3P1_H09	S3P1_F09	S3P1_G09	S3P1_A10
ADAMTS4_33053	0	0	0.285042618703022	0	0.29241276798639	0	0	0	0	0	0	0.362759423683123	0.616729575635642	0	0	0	0	0	0.48187934468507	0	0	0	0	0.302991945064166	0.254056090652111	0	0	0	0	0	0
PLP2_32738	1.13763298833009	0.685716613662611	1.06504234368981	1.21997330315124	1.23150639493977	1.25844860294208	0.780456963651258	1.1903228993159	0.660278278311255	1.24667097970828	1.7059067717343	0.893478021839129	1.64781220700023	0.58791898594128	1.33078886064663	1.33108659925271	1.33040889581113	1.95675236577012	1.66952097070569	1.20726668184383	1.49944998611796	0.844955425322777	1.10853387728613	1.11669838035602	1.10790972687576	1.46576132953887	1.61237371327513	0.769066161625138	0.546813385671206	1.39656035807104	1.67861861372077
SLC6A3_33188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTTNBP2_33124	2.67827216572131	1.69205640506363	2.53749926295678	2.823212766055	2.82100438202558	2.71579093724151	1.65673640083372	1.83352820869936	1.96419054346723	2.64683254698433	2.22536783222268	2.40278917434693	2.5361914083828	2.09423639449509	2.25957514706127	2.4719061258603	2.15777504821721	2.4379919435682	2.62182975828298	1.56730031463127	2.12106178811441	2.31644880355412	0.973466833439146	2.38034298025843	1.45048394584333	2.09506577415124	1.50025589396356	1.36981501522243	1.6200464426975	2.09270230340198	1.67861861372077
CGA_8298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRAM2_33198	9.93805226969047	10.0052646841122	9.66277842834753	9.84401881381564	9.78168624780093	9.85111378867196	9.77019172431565	10.1308032524975	9.76171547616653	9.62817465160591	9.58802071345352	9.70500150651954	9.76735847330945	9.89948632908477	10.0030530663305	9.78719929097676	10.1584798110565	9.82810736105769	9.68000172450446	9.7102341334773	10.2048758308518	9.97100674747877	10.1865574175152	9.92969703150335	9.95403523288109	9.72373854965037	9.73261868465809	10.8820970341637	10.4454249422168	10.7693504694211	10.1245795925077
PRKCQ_9569	0.678160913259496	0.685716613662611	0.285042618703022	0.464496228626372	0.29241276798639	1.56039055036179	0.309438095456017	0	0.660278278311255	1.10037912678931	0	0.652386519767124	0	0.323702712959707	0	0.683802780001511	0.282607451723525	0.469104036945354	0.260966101282418	0.284711061744162	0.686268637209777	0.675506078195412	0.47032482211891	0.952185283177862	0.254056090652111	0	0	0.233939075284409	0.299159889163882	0.725167517595866	0.526311818848718
TYMS_32803	5.44648812953977	4.9456328444234	5.21963625400077	5.34670179988108	5.30090827429806	5.35128078521888	5.12804353196626	5.57876943858688	5.38614125867806	5.75108596607057	5.35310191296205	5.51089085810502	5.67635626135515	5.55555703516453	5.57284738474658	5.76448463888992	5.92419516299045	5.99169584693139	5.85070761336497	6.18540477849768	6.19937483288001	6.10594701565655	6.03893629002583	6.4116313375909	6.52479441691607	6.21437115774448	6.49442011656137	6.48743745311899	6.53106633342162	6.66641939680572	6.15863617974571
RAE1_9652	3.32214170521495	2.82476939165426	3.11196926108915	3.44303922658181	3.4143425372677	3.87237147261125	2.89899646890432	3.36384059916316	2.84615213823571	3.2075171685292	3.28785112436837	3.42223613708591	3.75860031789811	2.70793284447982	3.28000017743276	3.57466235561326	2.81945514588081	3.94573480905902	3.71095878304083	3.28194311735394	3.38422989272115	2.92005053617204	2.44157527575899	3.43501669660546	3.1838548745459	3.53263507672879	4.08772822760816	3.48676738812017	3.77331315913331	3.63565225301662	3.63764582226965
GNB2L1_8731	10.4810273778755	9.88043070258376	10.2117088583808	10.3602665740435	10.2184304368046	10.4771594158915	10.0433887355449	10.3013641557637	9.94645500973727	10.270071663355	10.3497851476512	10.4149323849578	10.5446809716525	10.1271356354767	10.4996763557066	10.5301329421333	10.3903769950349	10.5792488918697	10.6794709789097	10.6965328932153	10.4900586342313	10.2417924678348	10.3415827062073	11.1332440880853	10.8193612833449	10.8745020308041	11.3814385221021	12.1245784166267	11.6813984516307	11.8502959430842	11.2646860419463
